county_name,sample_date,parameter,result,reporting_limit,units,Anomaly_Label,Anomaly_Label_Encoded
Alameda,05/03/1967 09:00,Total Alkalinity,270.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/18/1975 09:50,Total Alkalinity,294.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/19/1979 15:30,Total Alkalinity,301.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/20/1967 12:30,Total Alkalinity,291.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/23/1981 09:00,Total Alkalinity,269.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/10/1971 12:30,Total Alkalinity,305.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/14/1973 10:30,Total Alkalinity,315.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/29/1977 08:30,Total Alkalinity,276.0,1.0,mg/L as CaCO3,Normal,0
Alameda,09/18/1989 14:50,Total Alkalinity,210.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/14/1973 11:00,Total Alkalinity,214.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/18/1975 09:05,Total Alkalinity,205.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/19/1979 13:30,Total Alkalinity,211.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/23/1981 10:00,Total Alkalinity,209.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/29/1977 12:00,Total Alkalinity,206.0,1.0,mg/L as CaCO3,Normal,0
Alameda,09/01/1983 12:08,Total Alkalinity,207.0,1.0,mg/L as CaCO3,Normal,0
Alameda,09/17/1986 09:00,Total Alkalinity,201.0,1.0,mg/L as CaCO3,Normal,0
Alameda,11/03/1988 12:30,Total Alkalinity,209.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/20/1967 10:00,Total Alkalinity,130.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/10/1987 08:40,Total Alkalinity,264.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/22/1985 13:30,Total Alkalinity,260.0,1.0,mg/L as CaCO3,Normal,0
Alameda,10/11/1989 11:25,Total Alkalinity,261.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/17/1967 13:35,Total Alkalinity,170.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/26/1982 00:00,Total Alkalinity,302.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/28/1980 09:45,Total Alkalinity,304.0,1.0,mg/L as CaCO3,Normal,0
Alameda,06/14/1984 00:00,Total Alkalinity,285.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/26/1984 10:00,Total Alkalinity,319.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/27/1990 09:30,Total Alkalinity,324.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/23/1988 09:50,Total Alkalinity,323.0,1.0,mg/L as CaCO3,Normal,0
Alameda,09/04/1986 10:50,Total Alkalinity,316.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/25/1985 09:30,Total Alkalinity,303.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/28/1976 14:15,Total Alkalinity,365.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/29/1981 09:00,Total Alkalinity,363.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/10/1987 13:10,Total Alkalinity,289.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/16/1974 11:55,Total Alkalinity,399.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/21/1978 12:00,Total Alkalinity,381.0,1.0,mg/L as CaCO3,Normal,0
Alameda,09/12/1983 08:00,Total Alkalinity,334.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/09/1979 09:30,Total Alkalinity,362.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/16/1975 15:00,Total Alkalinity,352.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/17/1967 14:10,Total Alkalinity,319.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/25/1985 10:45,Total Alkalinity,361.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/29/1981 10:00,Total Alkalinity,383.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/09/1971 12:50,Total Alkalinity,334.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/10/1987 14:00,Total Alkalinity,330.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/12/1977 10:00,Total Alkalinity,344.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/20/1973 12:45,Total Alkalinity,353.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/23/1983 10:15,Total Alkalinity,456.0,1.0,mg/L as CaCO3,Very High,2
Alameda,08/28/1989 14:10,Total Alkalinity,364.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/21/1967 00:00,Total Alkalinity,171.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,06/29/1987 08:40,Total Alkalinity,64.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/18/1975 12:25,Total Alkalinity,202.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/19/1979 10:00,Total Alkalinity,206.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/30/1981 13:00,Total Alkalinity,203.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/09/1972 12:00,Total Alkalinity,94.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/29/1977 13:00,Total Alkalinity,212.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,09/02/1983 11:00,Total Alkalinity,201.0,1.0,mg/L as CaCO3,Normal,0
Alameda,09/12/1989 13:00,Total Alkalinity,204.0,1.0,mg/L as CaCO3,Normal,0
Alameda,09/19/1985 11:30,Total Alkalinity,115.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/16/1974 12:10,Total Alkalinity,146.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/21/1967 00:00,Total Alkalinity,209.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/19/1976 09:10,Total Alkalinity,209.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/15/1978 14:00,Total Alkalinity,188.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/28/1980 08:30,Total Alkalinity,219.0,1.0,mg/L as CaCO3,Normal,0
Alameda,06/29/1987 10:00,Total Alkalinity,85.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/18/1975 13:00,Total Alkalinity,215.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/19/1979 09:00,Total Alkalinity,186.0,1.0,mg/L as CaCO3,Normal,0
Alameda,07/21/1967 12:50,Total Alkalinity,26.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,07/23/1981 15:00,Total Alkalinity,204.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
Alameda,08/10/1971 09:15,Total Alkalinity,226.0,1.0,mg/L as CaCO3,Normal,0
Alameda,08/14/1973 12:20,Total Alkalinity,25.0,1.0,mg/L as CaCO3,Rapid Fluctuation,1
