county_name,sample_date,parameter,result,reporting_limit,units,anomaly,potential_cause
Alameda,07/19/1979 15:30,Total Dissolved Solids,845,1.0,mg/L at 180 °C,1,Normal
Alameda,08/14/1973 11:00,Total Dissolved Solids,573,1.0,mg/L at 180 °C,1,Normal
Alameda,07/18/1975 09:05,Total Dissolved Solids,544,1.0,mg/L at 180 °C,1,Normal
Alameda,08/22/1985 13:30,Total Dissolved Solids,509,1.0,mg/L at 180 °C,1,Normal
Alameda,08/28/1980 09:45,Total Dissolved Solids,533,1.0,mg/L at 180 °C,1,Normal
Alameda,06/14/1984 00:00,Total Dissolved Solids,586,1.0,mg/L at 180 °C,1,Normal
Alameda,07/26/1984 10:00,Total Dissolved Solids,604,1.0,mg/L at 180 °C,1,Normal
Alameda,07/25/1985 09:30,Total Dissolved Solids,1320,1.0,mg/L at 180 °C,1,Normal
Alameda,08/16/1974 11:55,Total Dissolved Solids,1290,1.0,mg/L at 180 °C,1,Normal
Alameda,07/16/1975 15:00,Total Dissolved Solids,2410,1.0,mg/L at 180 °C,1,Normal
Alameda,07/25/1985 10:45,Total Dissolved Solids,1690,1.0,mg/L at 180 °C,1,Normal
Alameda,08/09/1972 12:00,Total Dissolved Solids,857,1.0,mg/L at 180 °C,1,Normal
Alameda,09/02/1983 11:00,Total Dissolved Solids,1380,1.0,mg/L at 180 °C,1,Normal
Alameda,09/19/1985 11:30,Total Dissolved Solids,2260,1.0,mg/L at 180 °C,1,Normal
Alameda,08/15/1978 14:00,Total Dissolved Solids,1420,1.0,mg/L at 180 °C,1,Normal
Alameda,07/18/1975 13:00,Total Dissolved Solids,661,1.0,mg/L at 180 °C,1,Normal
Alameda,10/29/1985 13:20,Total Dissolved Solids,1360,1.0,mg/L at 180 °C,1,Normal
Alameda,08/07/1972 12:30,Total Dissolved Solids,381,1.0,mg/L at 180 °C,1,Normal
Alameda,09/02/1983 12:15,Total Dissolved Solids,629,1.0,mg/L at 180 °C,1,Normal
Alameda,09/19/1985 14:30,Total Dissolved Solids,591,1.0,mg/L at 180 °C,1,Normal
Alameda,09/25/1980 09:30,Total Dissolved Solids,469,1.0,mg/L at 180 °C,1,Normal
Alameda,07/18/1974 12:45,Total Dissolved Solids,376,1.0,mg/L at 180 °C,1,Normal
Alameda,08/22/1984 12:40,Total Dissolved Solids,483,1.0,mg/L at 180 °C,1,Normal
Alameda,07/18/1974 13:15,Total Dissolved Solids,420,1.0,mg/L at 180 °C,1,Normal
Alameda,09/19/1985 15:50,Total Dissolved Solids,412,1.0,mg/L at 180 °C,1,Normal
Alameda,08/07/1972 10:00,Total Dissolved Solids,397,1.0,mg/L at 180 °C,1,Normal
Alameda,09/01/1983 14:10,Total Dissolved Solids,443,1.0,mg/L at 180 °C,1,Normal
Alameda,09/19/1985 10:20,Total Dissolved Solids,447,1.0,mg/L at 180 °C,1,Normal
Alameda,08/14/1973 12:40,Total Dissolved Solids,490,1.0,mg/L at 180 °C,1,Normal
Alameda,08/19/1976 14:30,Total Dissolved Solids,373,1.0,mg/L at 180 °C,1,Normal
Alameda,07/26/1982 00:00,Total Dissolved Solids,854,1.0,mg/L at 180 °C,1,Normal
Alameda,08/08/1972 13:00,Total Dissolved Solids,738,1.0,mg/L at 180 °C,1,Normal
Alameda,08/22/1985 11:10,Total Dissolved Solids,531,1.0,mg/L at 180 °C,1,Normal
Alameda,08/20/1973 13:00,Total Dissolved Solids,469,1.0,mg/L at 180 °C,1,Normal
Alameda,07/10/1979 14:30,Total Dissolved Solids,514,1.0,mg/L at 180 °C,1,Normal
Alameda,07/10/1979 14:00,Total Dissolved Solids,458,1.0,mg/L at 180 °C,1,Normal
Alameda,07/10/1979 10:30,Total Dissolved Solids,687,1.0,mg/L at 180 °C,1,Normal
Alameda,07/22/1974 13:45,Total Dissolved Solids,480,1.0,mg/L at 180 °C,1,Normal
Alameda,07/26/1984 13:00,Total Dissolved Solids,544,1.0,mg/L at 180 °C,1,Normal
Alameda,07/22/1974 13:20,Total Dissolved Solids,858,1.0,mg/L at 180 °C,1,Normal
Alameda,09/11/1986 13:00,Total Dissolved Solids,559,1.0,mg/L at 180 °C,1,Normal
Alameda,09/11/1986 09:30,Total Dissolved Solids,599,1.0,mg/L at 180 °C,1,Normal
Alameda,10/12/1976 09:30,Total Dissolved Solids,797,1.0,mg/L at 180 °C,1,Normal
Alameda,08/26/1983 09:00,Total Dissolved Solids,513,1.0,mg/L at 180 °C,1,Normal
Alameda,09/25/1980 12:50,Total Dissolved Solids,523,1.0,mg/L at 180 °C,1,Normal
Alameda,08/10/1982 00:00,Total Dissolved Solids,440,1.0,mg/L at 180 °C,1,Normal
Alameda,08/11/1982 00:00,Total Dissolved Solids,551,1.0,mg/L at 180 °C,1,Normal
Alameda,08/05/1974 09:40,Total Dissolved Solids,748,1.0,mg/L at 180 °C,1,Normal
Alameda,07/11/1975 11:30,Total Dissolved Solids,370,1.0,mg/L at 180 °C,1,Normal
Alameda,07/22/1974 14:40,Total Dissolved Solids,395,1.0,mg/L at 180 °C,1,Normal
Alameda,07/25/1985 12:40,Total Dissolved Solids,358,1.0,mg/L at 180 °C,1,Normal
Alameda,07/30/1974 09:20,Total Dissolved Solids,667,1.0,mg/L at 180 °C,1,Normal
Alameda,09/10/1986 13:30,Total Dissolved Solids,487,1.0,mg/L at 180 °C,1,Normal
Alameda,08/08/1972 13:15,Total Dissolved Solids,545,1.0,mg/L at 180 °C,1,Normal
