county_name,sample_date,parameter,result,reporting_limit,units
Alameda,05/03/1967 09:00,Total Hardness,412,1.00000000,mg/L as CaCO3
Alameda,07/18/1975 09:50,Total Hardness,441,1.00000000,mg/L as CaCO3
Alameda,07/20/1967 12:30,Total Hardness,473,1.00000000,mg/L as CaCO3
Alameda,08/10/1971 12:30,Total Hardness,440,1.00000000,mg/L as CaCO3
Alameda,08/14/1973 10:30,Total Hardness,512,1.00000000,mg/L as CaCO3
Alameda,08/29/1977 08:30,Total Hardness,319,1.00000000,mg/L as CaCO3
Alameda,08/14/1973 11:00,Total Hardness,214,1.00000000,mg/L as CaCO3
Alameda,07/18/1975 09:05,Total Hardness,178,1.00000000,mg/L as CaCO3
Alameda,08/29/1977 12:00,Total Hardness,163,1.00000000,mg/L as CaCO3
Alameda,07/20/1967 10:00,Total Hardness,111,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 13:35,Total Hardness,927,1.00000000,mg/L as CaCO3
Alameda,06/14/1984 00:00,Total Hardness,44,1.00000000,mg/L as CaCO3
Alameda,07/28/1976 14:15,Total Hardness,306,1.00000000,mg/L as CaCO3
Alameda,08/16/1974 11:55,Total Hardness,352,1.00000000,mg/L as CaCO3
Alameda,08/21/1978 12:00,Total Hardness,354,1.00000000,mg/L as CaCO3
Alameda,07/16/1975 15:00,Total Hardness,696,1.00000000,mg/L as CaCO3
Alameda,07/17/1967 14:10,Total Hardness,442,1.00000000,mg/L as CaCO3
Alameda,08/09/1971 12:50,Total Hardness,606,1.00000000,mg/L as CaCO3
Alameda,08/12/1977 10:00,Total Hardness,558,1.00000000,mg/L as CaCO3
Alameda,08/20/1973 12:45,Total Hardness,746,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 00:00,Total Hardness,1060,1.00000000,mg/L as CaCO3
Alameda,07/18/1975 12:25,Total Hardness,436,1.00000000,mg/L as CaCO3
Alameda,08/09/1972 12:00,Total Hardness,342,1.00000000,mg/L as CaCO3
Alameda,08/29/1977 13:00,Total Hardness,423,1.00000000,mg/L as CaCO3
Alameda,07/16/1974 12:10,Total Hardness,2460,1.00000000,mg/L as CaCO3
Alameda,07/21/1967 00:00,Total Hardness,1830,1.00000000,mg/L as CaCO3
Alameda,08/19/1976 09:10,Total Hardness,978,1.00000000,mg/L as CaCO3
Alameda,08/15/1978 14:00,Total Hardness,673,1.00000000,mg/L as CaCO3
