county_name,sample_date,parameter,result,reporting_limit,units
Alameda,05/03/1967 09:00,pH,8,0.10000000,pH Units
Alameda,07/18/1975 09:50,pH,8.1,0.10000000,pH Units
Alameda,07/19/1979 15:30,pH,8.3,0.10000000,pH Units
Alameda,07/20/1967 12:30,pH,8.5,0.10000000,pH Units
Alameda,07/23/1981 09:00,pH,8,0.10000000,pH Units
Alameda,08/10/1971 12:30,pH,7.8,0.10000000,pH Units
Alameda,08/14/1973 10:30,pH,7.8,0.10000000,pH Units
Alameda,08/29/1977 08:30,pH,8.1,0.10000000,pH Units
Alameda,09/18/1989 14:50,pH,8.2,0.10000000,pH Units
Alameda,08/14/1973 11:00,pH,8.4,0.10000000,pH Units
Alameda,07/18/1975 09:05,pH,8.1,0.10000000,pH Units
Alameda,07/19/1979 13:30,pH,8.3,0.10000000,pH Units
Alameda,07/23/1981 10:00,pH,8.1,0.10000000,pH Units
Alameda,08/29/1977 12:00,pH,7.9,0.10000000,pH Units
Alameda,09/01/1983 12:08,pH,7.7,0.10000000,pH Units
Alameda,09/17/1986 09:00,pH,8.1,0.10000000,pH Units
Alameda,11/03/1988 12:30,pH,8.3,0.10000000,pH Units
Alameda,07/20/1967 10:00,pH,8.2,0.10000000,pH Units
Alameda,08/10/1987 08:40,pH,8.8,0.10000000,pH Units
Alameda,08/22/1985 13:30,pH,8.6,0.10000000,pH Units
Alameda,10/11/1989 11:25,pH,8,0.10000000,pH Units
Alameda,07/17/1967 13:35,pH,7.8,0.10000000,pH Units
Alameda,07/26/1982 00:00,pH,8.6,0.10000000,pH Units
Alameda,08/28/1980 09:45,pH,8.6,0.10000000,pH Units
Alameda,06/14/1984 00:00,pH,8.2,0.10000000,pH Units
Alameda,07/26/1984 10:00,pH,8.5,0.10000000,pH Units
Alameda,07/27/1990 09:30,pH,8.4,0.10000000,pH Units
Alameda,08/23/1988 09:50,pH,8.8,0.10000000,pH Units
Alameda,09/04/1986 10:50,pH,8.7,0.10000000,pH Units
Alameda,07/25/1985 09:30,pH,8.4,0.10000000,pH Units
Alameda,07/28/1976 14:15,pH,8.1,0.10000000,pH Units
Alameda,07/29/1981 09:00,pH,8.2,0.10000000,pH Units
Alameda,08/10/1987 13:10,pH,8.7,0.10000000,pH Units
Alameda,08/16/1974 11:55,pH,8,0.10000000,pH Units
Alameda,08/21/1978 12:00,pH,8.2,0.10000000,pH Units
Alameda,09/12/1983 08:00,pH,8,0.10000000,pH Units
Alameda,07/09/1979 09:30,pH,8.2,0.10000000,pH Units
Alameda,07/16/1975 15:00,pH,8.2,0.10000000,pH Units
Alameda,07/17/1967 14:10,pH,8.6,0.10000000,pH Units
Alameda,07/25/1985 10:45,pH,8.3,0.10000000,pH Units
Alameda,07/29/1981 10:00,pH,8.1,0.10000000,pH Units
Alameda,08/09/1971 12:50,pH,8,0.10000000,pH Units
Alameda,08/10/1987 14:00,pH,8.8,0.10000000,pH Units
Alameda,08/12/1977 10:00,pH,8,0.10000000,pH Units
Alameda,08/20/1973 12:45,pH,8.2,0.10000000,pH Units
Alameda,08/23/1983 10:15,pH,7.9,0.10000000,pH Units
Alameda,08/28/1989 14:10,pH,8.4,0.10000000,pH Units
Alameda,07/21/1967 00:00,pH,8.2,0.10000000,pH Units
Alameda,06/29/1987 08:40,pH,8,0.10000000,pH Units
Alameda,07/18/1975 12:25,pH,8.1,0.10000000,pH Units
Alameda,07/19/1979 10:00,pH,8.2,0.10000000,pH Units
Alameda,07/30/1981 13:00,pH,8,0.10000000,pH Units
Alameda,08/09/1972 12:00,pH,7.8,0.10000000,pH Units
Alameda,08/29/1977 13:00,pH,8,0.10000000,pH Units
Alameda,09/02/1983 11:00,pH,7.9,0.10000000,pH Units
Alameda,09/12/1989 13:00,pH,8,0.10000000,pH Units
Alameda,09/19/1985 11:30,pH,7.6,0.10000000,pH Units
Alameda,07/16/1974 12:10,pH,7.4,0.10000000,pH Units
Alameda,07/21/1967 00:00,pH,8,0.10000000,pH Units
Alameda,08/19/1976 09:10,pH,7.8,0.10000000,pH Units
Alameda,08/15/1978 14:00,pH,8.2,0.10000000,pH Units
Alameda,08/28/1980 08:30,pH,8.3,0.10000000,pH Units
Alameda,06/29/1987 10:00,pH,8,0.10000000,pH Units
Alameda,07/18/1975 13:00,pH,7.9,0.10000000,pH Units
Alameda,07/19/1979 09:00,pH,8.1,0.10000000,pH Units
Alameda,07/21/1967 12:50,pH,7.5,0.10000000,pH Units
Alameda,07/23/1981 15:00,pH,8.1,0.10000000,pH Units
Alameda,08/10/1971 09:15,pH,8.2,0.10000000,pH Units
Alameda,08/14/1973 12:20,pH,7.5,0.10000000,pH Units
Alameda,08/29/1977 14:00,pH,7.9,0.10000000,pH Units
Alameda,09/06/1983 13:50,pH,7.9,0.10000000,pH Units
Alameda,09/13/1989 16:57,pH,8.1,0.10000000,pH Units
Alameda,10/29/1985 13:20,pH,7.8,0.10000000,pH Units
Alameda,07/21/1967 12:10,pH,8.1,0.10000000,pH Units
Alameda,06/29/1987 11:30,pH,8.4,0.10000000,pH Units
Alameda,07/18/1975 13:25,pH,8.2,0.10000000,pH Units
Alameda,07/19/1979 08:30,pH,8.2,0.10000000,pH Units
Alameda,07/21/1967 14:00,pH,8.5,0.10000000,pH Units
Alameda,07/23/1981 16:00,pH,8.2,0.10000000,pH Units
Alameda,08/07/1972 12:30,pH,8.2,0.10000000,pH Units
Alameda,08/29/1977 08:00,pH,8.1,0.10000000,pH Units
Alameda,09/02/1983 12:15,pH,7.9,0.10000000,pH Units
Alameda,09/14/1989 11:30,pH,8.4,0.10000000,pH Units
Alameda,09/19/1985 14:30,pH,8.2,0.10000000,pH Units
Alameda,07/16/1974 13:00,pH,7.6,0.10000000,pH Units
Alameda,07/21/1967 13:45,pH,8.3,0.10000000,pH Units
Alameda,08/04/1982 00:00,pH,7.4,0.10000000,pH Units
Alameda,08/11/1976 10:45,pH,8.1,0.10000000,pH Units
Alameda,08/17/1978 11:00,pH,8,0.10000000,pH Units
Alameda,09/25/1980 09:30,pH,7.8,0.10000000,pH Units
Alameda,07/18/1974 12:45,pH,7.7,0.10000000,pH Units
Alameda,08/11/1976 12:25,pH,8.1,0.10000000,pH Units
Alameda,08/15/1978 16:00,pH,8.1,0.10000000,pH Units
Alameda,08/22/1984 12:40,pH,8.2,0.10000000,pH Units
Alameda,09/17/1986 13:10,pH,8.1,0.10000000,pH Units
Alameda,09/25/1980 10:05,pH,7.8,0.10000000,pH Units
Alameda,11/07/1988 14:30,pH,8.5,0.10000000,pH Units
Alameda,06/29/1987 13:30,pH,8.5,0.10000000,pH Units
Alameda,07/18/1974 13:15,pH,7.8,0.10000000,pH Units
Alameda,08/04/1982 00:00,pH,7.6,0.10000000,pH Units
Alameda,08/17/1978 10:00,pH,8.3,0.10000000,pH Units
Alameda,08/28/1980 11:40,pH,8.1,0.10000000,pH Units
Alameda,09/18/1989 12:00,pH,8.3,0.10000000,pH Units
Alameda,09/19/1985 15:50,pH,8.6,0.10000000,pH Units
Alameda,10/01/1976 14:10,pH,8.2,0.10000000,pH Units
Alameda,06/11/1969 00:00,pH,7.8,0.10000000,pH Units
Alameda,05/05/1967 08:30,pH,7.8,0.10000000,pH Units
Alameda,06/11/1969 00:00,pH,8.1,0.10000000,pH Units
Alameda,05/05/1967 08:55,pH,8,0.10000000,pH Units
Alameda,06/11/1969 00:00,pH,8.5,0.10000000,pH Units
Alameda,04/04/1968 00:00,pH,8.6,0.10000000,pH Units
Alameda,07/18/1975 10:40,pH,8,0.10000000,pH Units
Alameda,07/19/1979 11:00,pH,8.3,0.10000000,pH Units
Alameda,07/21/1967 11:15,pH,8.5,0.10000000,pH Units
Alameda,07/23/1981 12:00,pH,8.2,0.10000000,pH Units
Alameda,08/07/1972 10:00,pH,8.3,0.10000000,pH Units
Alameda,08/29/1977 11:00,pH,8.1,0.10000000,pH Units
Alameda,09/01/1983 14:10,pH,8.2,0.10000000,pH Units
Alameda,09/17/1986 10:50,pH,8.2,0.10000000,pH Units
Alameda,09/19/1985 10:20,pH,8.6,0.10000000,pH Units
Alameda,11/03/1988 15:00,pH,8.5,0.10000000,pH Units
Alameda,07/21/1967 11:50,pH,8.3,0.10000000,pH Units
Alameda,08/10/1971 09:50,pH,8.2,0.10000000,pH Units
Alameda,07/18/1975 12:05,pH,8.3,0.10000000,pH Units
Alameda,07/19/1979 12:30,pH,8.4,0.10000000,pH Units
Alameda,07/21/1967 12:20,pH,9,0.10000000,pH Units
Alameda,07/23/1981 14:00,pH,8.3,0.10000000,pH Units
Alameda,08/10/1971 09:30,pH,8.3,0.10000000,pH Units
Alameda,08/14/1973 12:40,pH,8.3,0.10000000,pH Units
Alameda,08/29/1977 13:30,pH,8.2,0.10000000,pH Units
Alameda,08/19/1976 14:30,pH,8.3,0.10000000,pH Units
Alameda,08/21/1978 11:00,pH,8.4,0.10000000,pH Units
Alameda,07/17/1967 13:40,pH,8.3,0.10000000,pH Units
Alameda,07/22/1974 14:00,pH,8.1,0.10000000,pH Units
Alameda,07/26/1982 00:00,pH,8.2,0.10000000,pH Units
Alameda,07/26/1990 14:30,pH,8,0.10000000,pH Units
Alameda,08/05/1988 09:30,pH,8.6,0.10000000,pH Units
Alameda,08/08/1972 13:00,pH,8.2,0.10000000,pH Units
Alameda,08/09/1984 10:40,pH,8.3,0.10000000,pH Units
Alameda,08/12/1976 10:50,pH,8.2,0.10000000,pH Units
Alameda,08/18/1978 12:30,pH,8.3,0.10000000,pH Units
Alameda,08/26/1980 12:30,pH,8.4,0.10000000,pH Units
Alameda,09/11/1986 08:00,pH,8.2,0.10000000,pH Units
Alameda,07/18/1967 14:00,pH,8.7,0.10000000,pH Units
Alameda,08/22/1985 11:10,pH,8.7,0.10000000,pH Units
Alameda,07/16/1975 15:30,pH,8.3,0.10000000,pH Units
Alameda,08/20/1973 13:00,pH,8.5,0.10000000,pH Units
Alameda,07/10/1979 14:30,pH,8.4,0.10000000,pH Units
Alameda,07/30/1981 15:00,pH,8.3,0.10000000,pH Units
Alameda,08/23/1983 13:15,pH,7.9,0.10000000,pH Units
Alameda,08/31/1977 13:00,pH,8.1,0.10000000,pH Units
Alameda,07/10/1979 14:00,pH,8.4,0.10000000,pH Units
Alameda,07/18/1967 13:00,pH,8.2,0.10000000,pH Units
Alameda,10/27/1989 12:30,pH,8.3,0.10000000,pH Units
Alameda,07/10/1979 10:30,pH,8.5,0.10000000,pH Units
Alameda,07/18/1967 13:30,pH,8.3,0.10000000,pH Units
Alameda,07/23/1975 10:40,pH,8.1,0.10000000,pH Units
Alameda,07/26/1985 13:00,pH,8,0.10000000,pH Units
Alameda,07/30/1981 16:00,pH,8.2,0.10000000,pH Units
Alameda,08/08/1977 11:00,pH,8.1,0.10000000,pH Units
Alameda,08/09/1971 09:45,pH,8,0.10000000,pH Units
Alameda,08/20/1973 09:50,pH,8.2,0.10000000,pH Units
Alameda,08/23/1983 11:30,pH,7.9,0.10000000,pH Units
Alameda,07/17/1967 16:00,pH,8.7,0.10000000,pH Units
Alameda,07/22/1974 13:45,pH,8.3,0.10000000,pH Units
Alameda,07/25/1990 14:00,pH,8.1,0.10000000,pH Units
Alameda,07/26/1984 13:00,pH,8.4,0.10000000,pH Units
Alameda,07/27/1982 00:00,pH,8.2,0.10000000,pH Units
Alameda,08/05/1988 11:20,pH,8.5,0.10000000,pH Units
Alameda,08/08/1972 12:30,pH,8.1,0.10000000,pH Units
Alameda,08/12/1976 10:20,pH,8.3,0.10000000,pH Units
Alameda,08/18/1978 12:00,pH,8.4,0.10000000,pH Units
Alameda,08/26/1980 16:15,pH,8.6,0.10000000,pH Units
Alameda,09/11/1986 12:10,pH,8.3,0.10000000,pH Units
Alameda,07/18/1967 14:10,pH,7.8,0.10000000,pH Units
Alameda,07/18/1967 14:30,pH,8.4,0.10000000,pH Units
Alameda,07/18/1967 14:30,pH,8.4,0.10000000,pH Units
Alameda,08/08/1972 12:20,pH,7.7,0.10000000,pH Units
Alameda,07/22/1974 13:20,pH,7.9,0.10000000,pH Units
Alameda,07/27/1982 00:00,pH,8.1,0.10000000,pH Units
Alameda,08/12/1976 09:50,pH,8,0.10000000,pH Units
Alameda,08/18/1978 11:00,pH,8,0.10000000,pH Units
Alameda,09/25/1980 12:20,pH,8.4,0.10000000,pH Units
Alameda,07/18/1967 14:15,pH,8.3,0.10000000,pH Units
Alameda,07/29/1988 14:15,pH,8.5,0.10000000,pH Units
Alameda,08/05/1990 14:15,pH,8,0.10000000,pH Units
Alameda,09/11/1986 13:00,pH,8.2,0.10000000,pH Units
Alameda,07/26/1990 15:00,pH,7.9,0.10000000,pH Units
Alameda,07/27/1982 00:00,pH,8.2,0.10000000,pH Units
Alameda,08/05/1988 10:50,pH,8.6,0.10000000,pH Units
Alameda,08/09/1984 10:05,pH,8.3,0.10000000,pH Units
Alameda,08/18/1978 13:00,pH,8.3,0.10000000,pH Units
Alameda,08/26/1980 13:15,pH,8.4,0.10000000,pH Units
Alameda,09/11/1986 09:30,pH,8.3,0.10000000,pH Units
Alameda,10/12/1976 09:30,pH,8.4,0.10000000,pH Units
Alameda,07/26/1985 14:15,pH,8.6,0.10000000,pH Units
