Yeaspm r,Good Quality Air Days,Moderate Quality Air Days,Unhealthy Air for Sensitive Groups,Unhealthy Air Days,Very Unhealthy or Hazardous Air Days,Total Unhealthy/ Hazardous Air Days
2022,40,231,65,28,1,94
2021,41,228,70,26,-,96
2020,60,169,77,44,16,137
2019,66,213,57,28,1,86
2018,35,222,89,18,1,108
2017,38,207,74,38,8,120
2016,32,230,81,19,4,104
2015,26,207,95,36,1,132
2014,23,234,80,26,2,108
2013,22,243,75,25,0,100
2012,33,203,93,35,2,130
2011,17,227,82,36,3,121
2010,32,219,99,15,0,114
2009,34,213,71,43,4,118
2008,31,213,68,46,8,122
2007,45,193,91,30,6,127
2006,64,172,79,39,11,129
2005,57,170,77,49,12,138
2004,29,179,87,67,4,158
2003,41,154,83,57,30,170
2002,34,152,104,53,22,179
2001,20,159,127,48,11,186
2000,27,164,114,51,10,175
1999,17,180,140,27,1,168
1998,54,193,72,22,24,118
1997,33,171,116,32,13,161
1996,42,154,91,47,32,170
1995,43,108,109,45,60,214
1994,22,124,96,41,82,219
1993,29,108,111,45,72,228
1992,22,104,92,59,89,240
1991,16,117,96,51,85,232
1990,17,118,84,57,89,230
1989,10,69,110,63,113,286
1988,9,65,84,63,145,292
1987,6,91,87,52,129,268
1986,7,72,92,54,140,286
1985,10,82,91,43,139,273
1984,5,71,101,52,137,290
1983,11,102,80,37,135,252
1982,8,83,91,54,129,274
1981,4,56,99,46,160,305
1980,6,74,80,47,159,286
