station_id,station_name,full_station_name,station_number,station_type,latitude,longitude,status,county_name,sample_code,sample_date,sample_depth,sample_depth_units,parameter,result,reporting_limit,units,method_name
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,Conductance,3480,1.00000000,uS/cm,EPA 120.1
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,Dissolved Boron,7.7,0.10000000,mg/L,"Std Method 4500-B, C"
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,Dissolved Calcium,68,1.00000000,mg/L,EPA 215.2
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,Dissolved Chloride,758,0.10000000,mg/L,"Std Method 4500-Cl, B"
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,Dissolved Magnesium,59,0.10000000,mg/L,"Std Method 3500-Mg, E"
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,Dissolved Sodium,510,1.00000000,mg/L,"Std Method 3500-Na, D"
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,Total Alkalinity,270,1.00000000,mg/L as CaCO3,EPA 310.1
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,Total Hardness,412,1.00000000,mg/L as CaCO3,EPA 130.2
8135,01S04E32C001M,01S04E32C001M,01S04E32C001M,Groundwater,37.80730000,-121.56170000,"Public, Review Status Unknown",Alameda,WDIS_0719152,05/03/1967 09:00,,Feet,pH,8,0.10000000,pH Units,EPA 150.1
8166,01S04W04A001M,01S04W04A001M,01S04W04A001M,Groundwater,37.87880000,-122.30270000,"Public, Review Status Unknown",Alameda,WDIS_0744257,07/18/1975 09:50,,Feet,Conductance,1430,1.00000000,uS/cm,EPA 120.1
